"symbol","owning_fixture","applicability","contract_category","comparison_baseline","comparison_record","owning_validation","decision","rationale"
"simdlib_rearrangement_codegen_widen_u8_u16_256","tests/codegen/RegisterRearrangementCodegenFixture.h","AVX2/128 source to 256-bit result","public abstraction parity","tests/codegen/RegisterRearrangementCodegenRaw.cpp matching public Api operation","rearrangement-conversion","RegisterCodegen.128Avx2","retain","The explicit low-lane u8-to-u16 256-bit widening result must match the public Api operation."
"simdlib_rearrangement_codegen_widen_u8_u32_128","tests/codegen/RegisterRearrangementCodegenFixture.h","SSE4.2/128; AVX2/128","public abstraction parity","tests/codegen/RegisterRearrangementCodegenRaw.cpp matching public Api operation","rearrangement-conversion","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2","retain","The explicit low-lane u8-to-u32 128-bit widening result must match the public Api operation."
"simdlib_rearrangement_codegen_widen_u8_u32_256","tests/codegen/RegisterRearrangementCodegenFixture.h","AVX2/128 source to 256-bit result","public abstraction parity","tests/codegen/RegisterRearrangementCodegenRaw.cpp matching public Api operation","rearrangement-conversion","RegisterCodegen.128Avx2","retain","The explicit low-lane u8-to-u32 256-bit widening result must match the public Api operation."
"simdlib_rearrangement_codegen_widen_u8_u64_128","tests/codegen/RegisterRearrangementCodegenFixture.h","SSE4.2/128; AVX2/128","public abstraction parity","tests/codegen/RegisterRearrangementCodegenRaw.cpp matching public Api operation","rearrangement-conversion","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2","retain","The explicit low-lane u8-to-u64 128-bit widening result must match the public Api operation."
"simdlib_rearrangement_codegen_widen_u8_u64_256","tests/codegen/RegisterRearrangementCodegenFixture.h","AVX2/128 source to 256-bit result","public abstraction parity","tests/codegen/RegisterRearrangementCodegenRaw.cpp matching public Api operation","rearrangement-conversion","RegisterCodegen.128Avx2","retain","The explicit low-lane u8-to-u64 256-bit widening result must match the public Api operation."
"simdlib_specialized_codegen_absolute_f32","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated Register::absolute specialization for f32 must match its public Api operation."
"simdlib_specialized_codegen_absolute_f64","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated Register::absolute specialization for f64 must match its public Api operation."
"simdlib_specialized_codegen_absolute_i16","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated Register::absolute specialization for i16 must match its public Api operation."
"simdlib_specialized_codegen_absolute_i32","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated Register::absolute specialization for i32 must match its public Api operation."
"simdlib_specialized_codegen_absolute_i64","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated Register::absolute specialization for i64 must match its public Api operation."
"simdlib_specialized_codegen_absolute_i8","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated Register::absolute specialization for i8 must match its public Api operation."
"simdlib_specialized_codegen_absolute_u16","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated Register::absolute specialization for u16 must match its public Api operation."
"simdlib_specialized_codegen_absolute_u32","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated Register::absolute specialization for u32 must match its public Api operation."
"simdlib_specialized_codegen_absolute_u64","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated Register::absolute specialization for u64 must match its public Api operation."
"simdlib_specialized_codegen_absolute_u8","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated Register::absolute specialization for u8 must match its public Api operation."
"simdlib_specialized_codegen_add_saturated_i16","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated add_saturated specialization for i16 must match its public Api operation."
"simdlib_specialized_codegen_add_saturated_i8","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated add_saturated specialization for i8 must match its public Api operation."
"simdlib_specialized_codegen_add_saturated_u16","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated add_saturated specialization for u16 must match its public Api operation."
"simdlib_specialized_codegen_add_saturated_u8","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated add_saturated specialization for u8 must match its public Api operation."
"simdlib_specialized_codegen_add_subtract_f32","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated add_subtract specialization for f32 must match its public Api operation."
"simdlib_specialized_codegen_add_subtract_f64","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated add_subtract specialization for f64 must match its public Api operation."
"simdlib_specialized_codegen_average_u16","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated average specialization for u16 must match its public Api operation."
"simdlib_specialized_codegen_average_u8","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated average specialization for u8 must match its public Api operation."
"simdlib_specialized_codegen_byte_multiply_add_i16","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated byte_multiply_add specialization for i16 must match its public Api operation."
"simdlib_specialized_codegen_byte_multiply_add_i32","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated byte_multiply_add specialization for i32 must match its public Api operation."
"simdlib_specialized_codegen_byte_multiply_add_i64","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated byte_multiply_add specialization for i64 must match its public Api operation."
"simdlib_specialized_codegen_byte_multiply_add_i8","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated byte_multiply_add specialization for i8 must match its public Api operation."
"simdlib_specialized_codegen_byte_multiply_add_u16","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated byte_multiply_add specialization for u16 must match its public Api operation."
"simdlib_specialized_codegen_byte_multiply_add_u32","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated byte_multiply_add specialization for u32 must match its public Api operation."
"simdlib_specialized_codegen_byte_multiply_add_u64","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated byte_multiply_add specialization for u64 must match its public Api operation."
"simdlib_specialized_codegen_byte_multiply_add_u8","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated byte_multiply_add specialization for u8 must match its public Api operation."
"simdlib_specialized_codegen_dot_product_f32","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated dot_product specialization for f32 must match its public Api operation."
"simdlib_specialized_codegen_dot_product_f64","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated dot_product specialization for f64 must match its public Api operation."
"simdlib_specialized_codegen_horizontal_add_f32","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated horizontal_add specialization for f32 must match its public Api operation."
"simdlib_specialized_codegen_horizontal_add_f64","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated horizontal_add specialization for f64 must match its public Api operation."
"simdlib_specialized_codegen_horizontal_add_i16","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated horizontal_add specialization for i16 must match its public Api operation."
"simdlib_specialized_codegen_horizontal_add_i32","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated horizontal_add specialization for i32 must match its public Api operation."
"simdlib_specialized_codegen_horizontal_add_saturated_i16","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated horizontal_add_saturated specialization for i16 must match its public Api operation."
"simdlib_specialized_codegen_horizontal_add_saturated_u16","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated horizontal_add_saturated specialization for u16 must match its public Api operation."
"simdlib_specialized_codegen_horizontal_add_u16","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated horizontal_add specialization for u16 must match its public Api operation."
"simdlib_specialized_codegen_horizontal_add_u32","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated horizontal_add specialization for u32 must match its public Api operation."
"simdlib_specialized_codegen_horizontal_subtract_f32","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated horizontal_subtract specialization for f32 must match its public Api operation."
"simdlib_specialized_codegen_horizontal_subtract_f64","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated horizontal_subtract specialization for f64 must match its public Api operation."
"simdlib_specialized_codegen_horizontal_subtract_i16","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated horizontal_subtract specialization for i16 must match its public Api operation."
"simdlib_specialized_codegen_horizontal_subtract_i32","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated horizontal_subtract specialization for i32 must match its public Api operation."
"simdlib_specialized_codegen_horizontal_subtract_saturated_i16","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated horizontal_subtract_saturated specialization for i16 must match its public Api operation."
"simdlib_specialized_codegen_horizontal_subtract_saturated_u16","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated horizontal_subtract_saturated specialization for u16 must match its public Api operation."
"simdlib_specialized_codegen_horizontal_subtract_u16","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated horizontal_subtract specialization for u16 must match its public Api operation."
"simdlib_specialized_codegen_horizontal_subtract_u32","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated horizontal_subtract specialization for u32 must match its public Api operation."
"simdlib_specialized_codegen_magnitude_checked_i16","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated checked-magnitude specialization for i16 must match its public Api operation."
"simdlib_specialized_codegen_magnitude_checked_i32","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated checked-magnitude specialization for i32 must match its public Api operation."
"simdlib_specialized_codegen_magnitude_checked_i64","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated checked-magnitude specialization for i64 must match its public Api operation."
"simdlib_specialized_codegen_magnitude_checked_i8","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated checked-magnitude specialization for i8 must match its public Api operation."
"simdlib_specialized_codegen_magnitude_checked_u16","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated checked-magnitude specialization for u16 must match its public Api operation."
"simdlib_specialized_codegen_magnitude_checked_u32","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated checked-magnitude specialization for u32 must match its public Api operation."
"simdlib_specialized_codegen_magnitude_checked_u64","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated checked-magnitude specialization for u64 must match its public Api operation."
"simdlib_specialized_codegen_magnitude_checked_u8","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated checked-magnitude specialization for u8 must match its public Api operation."
"simdlib_specialized_codegen_magnitude_f32","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated Register::magnitude specialization for f32 must match its public Api operation."
"simdlib_specialized_codegen_magnitude_f64","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated Register::magnitude specialization for f64 must match its public Api operation."
"simdlib_specialized_codegen_magnitude_i16","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated Register::magnitude specialization for i16 must match its public Api operation."
"simdlib_specialized_codegen_magnitude_i32","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated Register::magnitude specialization for i32 must match its public Api operation."
"simdlib_specialized_codegen_magnitude_i64","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated Register::magnitude specialization for i64 must match its public Api operation."
"simdlib_specialized_codegen_magnitude_i8","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated Register::magnitude specialization for i8 must match its public Api operation."
"simdlib_specialized_codegen_magnitude_u16","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated Register::magnitude specialization for u16 must match its public Api operation."
"simdlib_specialized_codegen_magnitude_u32","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated Register::magnitude specialization for u32 must match its public Api operation."
"simdlib_specialized_codegen_magnitude_u64","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated Register::magnitude specialization for u64 must match its public Api operation."
"simdlib_specialized_codegen_magnitude_u8","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated Register::magnitude specialization for u8 must match its public Api operation."
"simdlib_specialized_codegen_max_f32","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated Register::max specialization for f32 must match its public Api operation."
"simdlib_specialized_codegen_max_f64","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated Register::max specialization for f64 must match its public Api operation."
"simdlib_specialized_codegen_max_i16","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated Register::max specialization for i16 must match its public Api operation."
"simdlib_specialized_codegen_max_i32","tests/codegen/RegisterSpecializedCodegenFixture.h","SSE4.2/128; AVX2/128; AVX2/256","public abstraction parity","tests/codegen/RegisterSpecializedCodegenRaw.cpp matching public Api operation","specialized","RegisterCodegen.128Sse42; RegisterCodegen.128Avx2; RegisterCodegen.256Avx2","retain","The isolated Register::max specialization for i32 must match its public Api operation."
